GAME_ID,OPPONENT,HEELS_HOME/AWAY
1,Wisconsin,Home
2,Charleston,Home
3,UNLV,Away
4,Stanford,Away
5,Texas,Home
6,Iowa,Away
7,North Carolina Central,Home
8,Kentucky,Away
9,NC State,Away
10,Georgia Tech,Away
11,Notre Dame,Home
12,Miami,Away
13,Syracuse,Home
14,Florida State,Away
15,Wake Forest,Home
16,NC State,Home
17,Pittsburgh,Away
18,Clemson,Away
19,Duke,Away
20,Virginia,Away
21,Northeastern,Home
22,Louisville,Home
23,Marquette,Home
24,Florida State,Home
25,Syracuse,Away
26,Duke,Home
27,Notre Dame,Home
28,Virginia Tech,Away
29,Florida State,Away
